set_id,item_triplet,brand_triplet,n_items,n_unique_items,n_unique_brands
r2_main_00293,https://abib.com/product/딥-클린-폼-클렌저-수분초-히알루론-폼/306/ | https://myrealbarrier.co.kr/product/detail.html?product_no=68 | https://myrealbarrier.co.kr/product/detail.html?product_no=87&cate_no=48&display_group=1,리얼베리어 | 리얼베리어 | 아비브,3,3,2
r2_main_00327,https://imfrom.co.kr/product/detail.html?product_no=246&cate_no=175&display_group=1 | https://imfrom.co.kr/product/detail.html?product_no=247&cate_no=175&display_group=1 | https://m.thelavicosmall.com/product/%EC%A0%80%EC%9E%90%EA%B7%B9%EC%B4%89%EC%B4%89%ED%81%B4%EB%A0%8C,아임프롬 | 아임프롬 | 테라비코스,3,3,2
r2_main_00340,https://imfrom.co.kr/product/detail.html?product_no=205&cate_no=175&display_group=1 | https://themedicube.co.kr/product/detail.html?product_no=2304&cate_no=44&display_group=1 | https://themedicube.co.kr/product/detail.html?product_no=2360&cate_no=44&display_group=1,메디큐브 | 메디큐브 | 아임프롬,3,3,2
r2_main_00381,https://ilso.kr/product/new-%EC%96%B4%EC%84%B1%EC%B4%88%EB%AF%BC%EA%B0%90-pdrn-%EC%95%A1%ED%8B%B0%EB%B8%8C-%EB%B2%84%EB%B8%94-%ED%81%B4%EB%A0%8C%EC%A0%80/211/category/118/display/1/ | https://mixsoon.co.kr/product/detail.html?product_no=282&cate_no=106&display_group=1 | https://mixsoon.co.kr/product/detail.html?product_no=669&cate_no=106&display_group=1,믹순 | 믹순 | 일소,3,3,2
r2_main_00467,https://medipeel.co.kr/product/detail.html?product_no=2681&cate_no=499&display_group=1 | https://neopharmshop.co.kr/product/detail.html?product_no=2134&cate_no=1&display_group=11 | https://neopharmshop.co.kr/product/detail.html?product_no=2144&cate_no=48&display_group=1,네오팜 | 네오팜 | 메디필,3,3,2
r2_main_00471,https://aperire.co.kr/product/new-%EB%B9%84-%ED%94%84%EB%A1%9C%EC%A6%8C-%ED%8F%AC%EC%96%B4-%ED%8C%A9-%ED%88%AC-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A0%80/159/ | https://themedicube.co.kr/product/detail.html?product_no=2473&cate_no=308&display_group=1 | https://themedicube.co.kr/product/유튜버-pick-제로-폼-클렌저/356,메디큐브 | 메디큐브 | 아페리레,3,3,2
r2_main_00472,https://mixsoon.co.kr/product/detail.html?product_no=282&cate_no=106&display_group=1 | https://whataskin.co.kr/product/%EB%A7%88%EC%9D%BC%EB%93%9C-%EB%B0%94%ED%95%98-55-%EC%95%BD%EC%82%B0%EC%84%B1-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-200ml/11/category/29/display/1/ | https://whataskin.co.kr/product/%ED%93%A8%EC%96%B4%EB%AF%B8-%ED%9C%A9-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150g/22/category/29/display/1/,믹순 | 와더스킨 | 와더스킨,3,3,2
r2_main_00512,https://lagom.kr/product/detail.html?product_no=566&cate_no=69&display_group=1 | https://lagom.kr/product/detail.html?product_no=652&cate_no=86&display_group=1 | https://www.theskinfood.com/shop/shopdetail.html?branduid=1464&search=%ED%8F%BC&sort=order&xcode=005&mcode=034&scode=&GfDT=bG53VQ%3D%3D,라곰 | 라곰 | 스킨푸드,3,3,2
r2_main_00520,https://medipeel.co.kr/product/detail.html?product_no=3240&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3301&cate_no=728&display_group=1 | https://www.theskinfood.com/shop/shopdetail.html?branduid=10323543&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=bm91W1w%3D,메디필 | 메디필 | 스킨푸드,3,3,2
r2_main_00532,https://anua.kr/product/detail.html?product_no=335&cate_no=24&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=2391&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3409&cate_no=499&display_group=1,메디필 | 메디필 | 아누아,3,3,2
r2_main_00559,https://skin1004korea.com/product/%EB%A7%88%EB%8B%A4%EA%B0%80%EC%8A%A4%EC%B9%B4%EB%A5%B4-%EC%84%BC%E | https://skin1004korea.com/product/마다가스카르-센텔라-앰플-폼-125ml/272/category/131/display/1/ | https://thewhoo.com/product/detail.html?product_no=650,더후 | 스킨1004 | 스킨1004,3,3,2
r2_main_00568,https://anua.kr/product/detail.html?product_no=321&cate_no=24&display_group=1 | https://anua.kr/product/detail.html?product_no=463&cate_no=24&display_group=1 | https://clubclio.co.kr/shop/goodsView/0000006568#page1&id=0000006568,구달 | 아누아 | 아누아,3,3,2
r2_main_00589,https://sum37.com/product/detail.html?product_no=374&cate_no=24&display_group=1 | https://sum37.com/product/detail.html?product_no=406&cate_no=24&display_group=1 | https://tyfmall.co.kr/product/%ED%8F%B4%EB%A3%A8%ED%94%84%EB%A6%AC-55-%EC%95%BD%EC%82%B0%EC%84%B1-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-120ml/70/category/64/display/1/,땡큐파머 | 숨37 | 숨37,3,3,2
r2_main_00600,https://lagom.kr/product/detail.html?product_no=572&cate_no=69&display_group=1 | https://lagom.kr/product/detail.html?product_no=652&cate_no=86&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3409&cate_no=499&display_group=1,라곰 | 라곰 | 메디필,3,3,2
